Queue length,Speed,Phase,Step,Action,Reward
0.033333335,0.0,1.0,0.001,3,-0.033333335
0.0,1.1364625,0.33333334,0.002,1,-0.0
0.0,2.3420193,1.0,0.003,3,-0.0
0.016666668,2.2771235,0.6666667,0.004,2,-0.016666668
0.016666668,2.4912014,1.0,0.005,3,-0.016666668
0.0,3.6269915,1.0,0.006,3,-0.0
0.0,4.7752504,0.6666667,0.007,2,-0.0
0.0,6.005069,0.0,0.008,0,-0.0
0.016666668,5.5944147,0.0,0.009,0,-0.016666668
0.0,5.541997,0.0,0.01,0,-0.0
0.0,5.2206836,0.6666667,0.011,2,-0.0
0.0,4.679963,0.6666667,0.012,2,-0.0
0.0,4.4661098,0.0,0.013,0,-0.0
0.016666668,3.4927654,0.33333334,0.014,1,-0.016666668
0.025,3.0633147,0.6666667,0.015,2,-0.025
0.041666668,2.3003275,0.6666667,0.016,2,-0.041666668
0.033333335,2.297183,0.6666667,0.017,2,-0.033333335
0.033333335,2.4034653,0.0,0.018,0,-0.033333335
0.033333335,2.604084,0.0,0.019,0,-0.033333335
0.025,3.0232198,0.6666667,0.02,2,-0.025
0.041666668,3.5374901,0.33333334,0.021,1,-0.041666668
0.041666668,3.883383,0.0,0.022,0,-0.041666668
0.058333334,3.856027,0.0,0.023,0,-0.058333334
0.033333335,4.512195,0.6666667,0.024,2,-0.033333335
0.033333335,3.2751806,0.33333334,0.025,1,-0.033333335
0.033333335,3.3927724,0.6666667,0.026,2,-0.033333335
0.041666668,3.781423,0.33333334,0.027,1,-0.041666668
0.041666668,2.5980554,0.6666667,0.028,2,-0.041666668
0.05,3.0676234,0.6666667,0.029,2,-0.05
0.05,2.4536319,1.0,0.03,3,-0.05
0.041666668,2.1882255,0.6666667,0.031,2,-0.041666668
0.016666668,2.7560985,0.6666667,0.032,2,-0.016666668
0.016666668,2.6983795,0.33333334,0.033,1,-0.016666668
0.041666668,1.8663192,0.33333334,0.034,1,-0.041666668
0.041666668,2.1167371,0.33333334,0.035,1,-0.041666668
0.025,2.660301,1.0,0.036,3,-0.025
