Queue length,Speed,Phase,Step,Action,Reward
0.033333335,0.0,1.0,0.001,3,-0.033333335
0.0,1.1364625,0.6666667,0.002,2,-0.0
0.0,2.3420193,1.0,0.003,3,-0.0
0.016666668,2.2771235,0.6666667,0.004,2,-0.016666668
0.016666668,2.4912014,0.6666667,0.005,2,-0.016666668
0.0,3.6269915,0.33333334,0.006,1,-0.0
0.0,4.7752504,1.0,0.007,3,-0.0
0.0,6.005069,0.33333334,0.008,1,-0.0
0.0,6.9930186,0.0,0.009,0,-0.0
0.0,6.6487923,0.6666667,0.01,2,-0.0
0.0,5.973805,0.6666667,0.011,2,-0.0
0.0,5.9012575,1.0,0.012,3,-0.0
0.0,5.666508,0.0,0.013,0,-0.0
0.008333334,4.944362,0.0,0.014,0,-0.008333334
0.016666668,4.1812134,0.0,0.015,0,-0.016666668
0.008333334,3.4174478,0.33333334,0.016,1,-0.008333334
0.016666668,3.741348,0.33333334,0.017,1,-0.016666668
0.025,4.436119,0.33333334,0.018,1,-0.025
0.025,4.917346,1.0,0.019,3,-0.025
0.025,4.4861407,1.0,0.02,3,-0.025
0.025,3.6689565,0.33333334,0.021,1,-0.025
0.008333334,4.7115326,0.6666667,0.022,2,-0.008333334
0.008333334,5.575487,1.0,0.023,3,-0.008333334
0.008333334,6.225008,0.0,0.024,0,-0.008333334
0.008333334,6.20964,0.6666667,0.025,2,-0.008333334
0.008333334,7.196743,0.6666667,0.026,2,-0.008333334
0.008333334,6.48846,0.6666667,0.027,2,-0.008333334
0.008333334,7.33083,0.6666667,0.028,2,-0.008333334
0.0,6.8326564,0.0,0.029,0,-0.0
0.0,7.9330854,0.33333334,0.03,1,-0.0
0.033333335,3.9517891,0.6666667,0.031,2,-0.033333335
0.0,3.4684584,0.0,0.032,0,-0.0
0.0,2.8463,1.0,0.033,3,-0.0
0.0,3.9675593,1.0,0.034,3,-0.0
0.033333335,2.838927,0.0,0.035,0,-0.033333335
0.0,3.950524,0.6666667,0.036,2,-0.0
0.0,5.2247434,0.0,0.037,0,-0.0
0.0,6.44641,0.33333334,0.038,1,-0.0
0.0,7.7832184,0.6666667,0.039,2,-0.0
0.0,7.5438285,0.33333334,0.04,1,-0.0
0.0,6.1040063,0.0,0.041,0,-0.0
0.0,5.837139,0.33333334,0.042,1,-0.0
0.0,6.1974406,0.0,0.043,0,-0.0
0.008333334,5.4738593,0.6666667,0.044,2,-0.008333334
0.016666668,4.1752453,0.0,0.045,0,-0.016666668
0.016666668,4.405726,0.6666667,0.046,2,-0.016666668
0.016666668,4.4492774,0.6666667,0.047,2,-0.016666668
0.016666668,4.7142696,0.0,0.048,0,-0.016666668
0.0,5.4697695,1.0,0.049,3,-0.0
0.016666668,5.033858,0.6666667,0.05,2,-0.016666668
0.016666668,4.580585,0.6666667,0.051,2,-0.016666668
0.016666668,5.523346,0.0,0.052,0,-0.016666668
0.016666668,6.06996,0.0,0.053,0,-0.016666668
0.016666668,3.1234953,0.6666667,0.054,2,-0.016666668
0.016666668,3.7880306,0.0,0.055,0,-0.016666668
0.016666668,4.4032035,0.0,0.056,0,-0.016666668
0.016666668,4.912713,0.0,0.057,0,-0.016666668
0.016666668,5.4371476,0.0,0.058,0,-0.016666668
0.016666668,3.487332,0.33333334,0.059,1,-0.016666668
0.016666668,3.9677694,0.6666667,0.06,2,-0.016666668
0.05,0.0,0.6666667,0.061,2,-0.05
0.016666668,0.9120052,0.33333334,0.062,1,-0.016666668
0.016666668,1.6979752,0.0,0.063,0,-0.016666668
0.041666668,1.6939034,0.6666667,0.064,2,-0.041666668
0.025,2.3346844,0.6666667,0.065,2,-0.025
0.0,3.556201,1.0,0.066,3,-0.0
0.0,4.7764573,0.6666667,0.067,2,-0.0
0.0,6.01547,0.0,0.068,0,-0.0
0.0,6.9193907,0.0,0.069,0,-0.0
0.0,6.713583,0.0,0.07,0,-0.0
0.0,6.0684204,0.6666667,0.071,2,-0.0
0.0,5.4959593,0.0,0.072,0,-0.0
0.025,4.7268267,0.6666667,0.073,2,-0.025
0.041666668,4.3639693,0.6666667,0.074,2,-0.041666668
0.025,4.514695,1.0,0.075,3,-0.025
0.025,4.8525367,0.6666667,0.076,2,-0.025
0.025,3.5696814,0.0,0.077,0,-0.025
0.025,4.0922823,0.0,0.078,0,-0.025
0.033333335,4.4686804,0.6666667,0.079,2,-0.033333335
0.016666668,5.1481357,0.0,0.08,0,-0.016666668
0.016666668,4.5271907,0.6666667,0.081,2,-0.016666668
