Average Queue length,Phase,Step,Action,Reward,Total Queue Length
0.0,1.0,0.001,3,0.0,0
0.1,0.33333334,0.002,1,-0.1,4
0.0,0.33333334,0.003,1,0.0,0
0.0,0.33333334,0.004,1,0.0,0
0.05,0.0,0.005,0,-0.05,2
0.05,0.6666667,0.006,2,-0.05,2
0.0,0.0,0.007,0,0.0,0
0.0,0.6666667,0.008,2,0.0,0
0.0,1.0,0.009,3,0.0,0
0.05,0.0,0.01,0,-0.05,2
0.0,0.33333334,0.011,1,0.0,0
0.0,0.6666667,0.012,2,0.0,0
0.025,1.0,0.013,3,-0.025,1
0.0,0.33333334,0.014,1,0.0,0
0.0,0.6666667,0.015,2,0.0,0
0.025,0.0,0.016,0,-0.025,1
0.075,0.6666667,0.017,2,-0.075,3
0.05,0.6666667,0.018,2,-0.05,2
0.05,0.0,0.019,0,0.95,2
0.0,0.0,0.02,0,0.0,0
0.0,1.0,0.021,3,0.0,0
0.0,0.33333334,0.022,1,0.0,0
0.05,1.0,0.023,3,0.45,2
0.075,0.0,0.024,0,-0.075,3
0.05,0.0,0.025,0,0.45,2
0.05,1.0,0.026,3,0.45,2
0.0,0.6666667,0.027,2,0.0,0
0.0,1.0,0.028,3,0.5,0
0.0,0.33333334,0.029,1,0.0,0
0.0,1.0,0.03,3,0.0,0
0.05,0.0,0.031,0,0.45,2
0.05,1.0,0.032,3,-0.05,2
0.0,0.0,0.033,0,0.5,0
0.05,0.0,0.034,0,-0.05,2
0.0,0.33333334,0.035,1,0.0,0
0.075,1.0,0.036,3,-0.075,3
0.0,0.0,0.037,0,0.0,0
0.075,0.33333334,0.038,1,0.925,3
0.025,1.0,0.039,3,-0.025,1
0.0,1.0,0.04,3,0.5,0
0.0,0.33333334,0.041,1,0.5,0
0.025,0.0,0.042,0,-0.025,1
0.05,1.0,0.043,3,-0.05,2
0.05,1.0,0.044,3,-0.05,2
0.05,0.0,0.045,0,-0.05,2
0.125,0.33333334,0.046,1,-0.125,5
0.075,1.0,0.047,3,-0.075,3
0.1,1.0,0.048,3,0.4,4
0.125,0.0,0.049,0,-0.125,5
0.075,1.0,0.05,3,-0.075,3
0.125,0.6666667,0.051,2,0.375,5
0.075,0.6666667,0.052,2,-0.075,3
0.125,1.0,0.053,3,0.375,5
0.075,0.33333334,0.054,1,-0.075,3
0.075,0.33333334,0.055,1,0.425,3
0.075,1.0,0.056,3,-0.075,3
0.075,1.0,0.057,3,-0.075,3
0.075,0.6666667,0.058,2,0.425,3
0.075,1.0,0.059,3,-0.075,3
0.125,0.0,0.06,0,-0.125,5
0.05,1.0,0.061,3,0.45,2
0.125,1.0,0.062,3,-0.125,5
0.1,1.0,0.063,3,0.4,4
0.1,0.33333334,0.064,1,0.4,4
0.1,0.0,0.065,0,-0.1,4
0.075,1.0,0.066,3,-0.075,3
0.125,0.6666667,0.067,2,0.875,5
0.075,0.6666667,0.068,2,-0.075,3
0.075,0.0,0.069,0,0.425,3
0.025,0.6666667,0.07,2,-0.025,1
0.025,0.33333334,0.071,1,-0.025,1
0.025,0.0,0.072,0,-0.025,1
0.05,1.0,0.073,3,0.45,2
0.05,0.33333334,0.074,1,-0.05,2
0.075,1.0,0.075,3,0.425,3
0.05,1.0,0.076,3,-0.05,2
0.075,0.0,0.077,0,-0.075,3
0.1,0.0,0.078,0,0.4,4
0.125,1.0,0.079,3,-0.125,5
0.15,1.0,0.08,3,-0.15,6
0.15,0.33333334,0.081,1,0.35,6
0.175,0.6666667,0.082,2,-0.175,7
0.1,0.0,0.083,0,-0.1,4
0.15,0.0,0.084,0,0.35,6
0.175,1.0,0.085,3,-0.175,7
0.15,0.6666667,0.086,2,-0.15,6
0.125,0.0,0.087,0,0.375,5
0.1,0.33333334,0.088,1,0.4,4
0.125,0.33333334,0.089,1,-0.125,5
0.1,0.0,0.09,0,0.4,4
0.1,1.0,0.091,3,-0.1,4
0.15,0.0,0.092,0,-0.15,6
0.125,0.0,0.093,0,-0.125,5
0.1,1.0,0.094,3,-0.1,4
0.075,1.0,0.095,3,0.425,3
0.15,0.0,0.096,0,-0.15,6
0.05,0.0,0.097,0,0.45,2
0.05,1.0,0.098,3,-0.05,2
0.05,0.33333334,0.099,1,0.45,2
0.025,0.0,0.1,0,-0.025,1
0.05,0.6666667,0.101,2,-0.05,2
0.075,0.0,0.102,0,0.425,3
0.125,0.0,0.103,0,-0.125,5
0.125,1.0,0.104,3,-0.125,5
