Queue length,Phase,Step,Action,Reward,Total Queue Length
0.0,1.0,0.001,3,0.0,0.0
0.1,1.0,0.002,3,-0.2,0.5
0.0,1.0,0.003,3,0.0,0.0
0.0,0.6666667,0.004,2,0.0,0.0
0.05,1.0,0.005,3,-0.2,0.25
0.05,1.0,0.006,3,-0.2,0.25
0.0,1.0,0.007,3,0.0,0.0
0.0,1.0,0.008,3,0.0,0.0
0.0,1.0,0.009,3,0.0,0.0
0.0,0.6666667,0.01,2,0.0,0.0
0.0,1.0,0.011,3,0.0,0.0
0.0,1.0,0.012,3,0.0,0.0
0.0,1.0,0.013,3,0.0,0.0
0.0,1.0,0.014,3,0.0,0.0
0.025,1.0,0.015,3,-0.2,0.125
0.075,0.33333334,0.016,1,-0.2,0.375
0.025,0.0,0.017,0,-0.2,0.125
0.025,0.6666667,0.018,2,-0.2,0.125
0.025,0.0,0.019,0,-0.2,0.125
0.05,0.6666667,0.02,2,-0.2,0.25
0.025,0.6666667,0.021,2,-0.2,0.125
0.0,0.6666667,0.022,2,0.0,0.0
0.0,1.0,0.023,3,0.0,0.0
0.0,1.0,0.024,3,0.0,0.0
0.0,1.0,0.025,3,0.0,0.0
0.0,0.6666667,0.026,2,0.0,0.0
0.0,1.0,0.027,3,0.0,0.0
0.0,1.0,0.028,3,0.0,0.0
0.0,1.0,0.029,3,0.0,0.0
0.0,1.0,0.03,3,0.0,0.0
0.0,1.0,0.031,3,0.0,0.0
0.1,1.0,0.032,3,-0.2,0.5
0.0,0.6666667,0.033,2,0.0,0.0
0.0,1.0,0.034,3,0.0,0.0
0.0,1.0,0.035,3,0.0,0.0
0.1,1.0,0.036,3,-0.2,0.5
0.0,0.6666667,0.037,2,0.0,0.0
0.0,1.0,0.038,3,0.0,0.0
0.0,1.0,0.039,3,0.0,0.0
0.0,1.0,0.04,3,0.0,0.0
0.0,1.0,0.041,3,0.0,0.0
0.0,1.0,0.042,3,0.0,0.0
0.0,1.0,0.043,3,0.0,0.0
0.025,0.33333334,0.044,1,-0.2,0.125
0.0,0.6666667,0.045,2,0.0,0.0
0.05,0.0,0.046,0,-0.2,0.25
0.05,0.6666667,0.047,2,-0.2,0.25
0.05,0.0,0.048,0,-0.2,0.25
0.075,0.6666667,0.049,2,-0.2,0.375
0.075,0.6666667,0.05,2,-0.2,0.375
0.025,0.33333334,0.051,1,-0.2,0.125
0.025,0.33333334,0.052,1,-0.2,0.125
0.025,0.33333334,0.053,1,-0.2,0.125
0.025,0.33333334,0.054,1,-0.2,0.125
0.025,0.33333334,0.055,1,-0.2,0.125
0.0,1.0,0.056,3,0.0,0.0
0.0,1.0,0.057,3,0.0,0.0
0.0,1.0,0.058,3,0.0,0.0
0.0,1.0,0.059,3,0.0,0.0
0.0,1.0,0.06,3,0.0,0.0
0.0,1.0,0.061,3,0.0,0.0
0.1,1.0,0.062,3,-0.2,0.5
0.0,0.6666667,0.063,2,0.0,0.0
0.0,1.0,0.064,3,0.0,0.0
0.025,0.33333334,0.065,1,-0.2,0.125
0.075,1.0,0.066,3,-0.2,0.375
0.0,0.6666667,0.067,2,0.0,0.0
0.0,1.0,0.068,3,0.0,0.0
0.0,1.0,0.069,3,0.0,0.0
0.0,1.0,0.07,3,0.0,0.0
0.0,1.0,0.071,3,0.0,0.0
0.0,1.0,0.072,3,0.0,0.0
0.0,0.6666667,0.073,2,0.0,0.0
0.05,0.33333334,0.074,1,-0.2,0.25
0.025,0.0,0.075,0,-0.2,0.125
0.05,0.33333334,0.076,1,-0.2,0.25
0.05,0.6666667,0.077,2,-0.2,0.25
0.05,0.33333334,0.078,1,-0.2,0.25
0.075,0.6666667,0.079,2,-0.2,0.375
0.075,0.6666667,0.08,2,-0.2,0.375
0.05,0.33333334,0.081,1,-0.2,0.25
0.05,0.33333334,0.082,1,-0.2,0.25
0.05,0.33333334,0.083,1,-0.2,0.25
0.05,0.33333334,0.084,1,-0.2,0.25
0.025,0.0,0.085,0,-0.2,0.125
0.0,1.0,0.086,3,0.0,0.0
0.0,1.0,0.087,3,0.0,0.0
0.0,0.6666667,0.088,2,0.0,0.0
0.0,1.0,0.089,3,0.0,0.0
0.0,1.0,0.09,3,0.0,0.0
0.0,1.0,0.091,3,0.0,0.0
0.1,1.0,0.092,3,-0.2,0.5
0.0,1.0,0.093,3,0.0,0.0
