Queue length,Speed,Phase,Step,Action,Reward
0.033333335,0.0,0.33333334,0.001,1,-0.033333335
0.0,1.1364625,0.0,0.002,0,-0.0
0.0,2.3420193,0.33333334,0.003,1,-0.0
0.016666668,2.2771235,1.0,0.004,3,-0.016666668
0.016666668,2.4912014,0.33333334,0.005,1,-0.016666668
0.0,3.6269915,1.0,0.006,3,-0.0
0.0,4.7752504,0.6666667,0.007,2,-0.0
0.0,6.005069,0.6666667,0.008,2,-0.0
0.016666668,5.5944147,0.6666667,0.009,2,-0.016666668
0.0,5.5235834,0.6666667,0.01,2,-0.0
0.0,5.1978097,0.0,0.011,0,-0.0
0.0,5.515525,0.33333334,0.012,1,-0.0
0.0,5.4725223,0.6666667,0.013,2,-0.0
0.008333334,5.3826075,0.0,0.014,0,-0.008333334
0.016666668,4.6301003,0.33333334,0.015,1,-0.016666668
0.033333335,3.7604444,0.33333334,0.016,1,-0.033333335
0.033333335,4.0801497,0.33333334,0.017,1,-0.033333335
0.025,4.4859486,0.6666667,0.018,2,-0.025
0.016666668,4.7281637,1.0,0.019,3,-0.016666668
0.016666668,3.8410566,1.0,0.02,3,-0.016666668
0.008333334,3.3310614,0.0,0.021,0,-0.008333334
0.033333335,3.7331104,1.0,0.022,3,-0.033333335
0.05,2.9228518,0.0,0.023,0,-0.05
0.025,3.403791,0.6666667,0.024,2,-0.025
0.025,3.5025737,1.0,0.025,3,-0.025
0.008333334,3.8210618,0.33333334,0.026,1,-0.008333334
0.016666668,4.1087904,0.0,0.027,0,-0.016666668
0.025,4.659792,1.0,0.028,3,-0.025
0.033333335,4.654558,0.6666667,0.029,2,-0.033333335
0.05,3.674815,1.0,0.03,3,-0.05
0.033333335,3.5070574,0.33333334,0.031,1,-0.033333335
0.0,3.267392,1.0,0.032,3,-0.0
0.016666668,3.3326426,0.6666667,0.033,2,-0.016666668
0.0,3.5547578,0.6666667,0.034,2,-0.0
0.016666668,3.765648,0.6666667,0.035,2,-0.016666668
0.008333334,4.3687468,0.0,0.036,0,-0.008333334
0.033333335,4.129168,0.6666667,0.037,2,-0.033333335
0.025,3.9398763,0.0,0.038,0,-0.025
0.033333335,4.3054304,0.6666667,0.039,2,-0.033333335
0.033333335,4.4603996,0.6666667,0.04,2,-0.033333335
0.041666668,4.212907,0.6666667,0.041,2,-0.041666668
0.05,3.5072987,0.6666667,0.042,2,-0.05
0.058333334,3.071457,1.0,0.043,3,-0.058333334
0.041666668,2.5691113,0.33333334,0.044,1,-0.041666668
0.05,1.5792586,0.0,0.045,0,-0.05
0.016666668,1.350019,0.33333334,0.046,1,-0.016666668
0.033333335,1.5088682,1.0,0.047,3,-0.033333335
0.041666668,1.8939915,1.0,0.048,3,-0.041666668
0.05,2.4068508,1.0,0.049,3,-0.05
0.041666668,2.7834814,0.6666667,0.05,2,-0.041666668
0.05,2.887814,1.0,0.051,3,-0.05
0.058333334,2.6327655,0.0,0.052,0,-0.058333334
0.058333334,1.5296731,0.0,0.053,0,-0.058333334
0.06666667,1.7540951,0.6666667,0.054,2,-0.06666667
0.06666667,2.1668987,1.0,0.055,3,-0.06666667
0.058333334,2.7229218,0.33333334,0.056,1,-0.058333334
0.05,2.3921285,0.0,0.057,0,-0.05
0.041666668,2.4529142,1.0,0.058,3,-0.041666668
0.041666668,2.4228017,0.6666667,0.059,2,-0.041666668
0.033333335,2.2684712,0.6666667,0.06,2,-0.033333335
0.05,2.3717072,1.0,0.061,3,-0.05
0.033333335,2.2203693,0.33333334,0.062,1,-0.033333335
0.05,1.7972964,0.6666667,0.063,2,-0.05
0.033333335,2.2104323,0.6666667,0.064,2,-0.033333335
0.025,2.5350313,0.6666667,0.065,2,-0.025
0.025,2.919751,0.33333334,0.066,1,-0.025
0.008333334,3.4065216,1.0,0.067,3,-0.008333334
0.0,4.438287,0.0,0.068,0,-0.0
0.0,5.1460323,0.0,0.069,0,-0.0
0.0,5.546189,0.33333334,0.07,1,-0.0
0.008333334,5.541768,0.0,0.071,0,-0.008333334
0.008333334,5.3060102,1.0,0.072,3,-0.008333334
0.041666668,3.8667526,1.0,0.073,3,-0.041666668
0.033333335,3.5630572,1.0,0.074,3,-0.033333335
0.041666668,2.3566158,0.0,0.075,0,-0.041666668
0.058333334,2.450189,0.6666667,0.076,2,-0.058333334
0.058333334,2.7197428,0.0,0.077,0,-0.058333334
0.075,2.7901833,1.0,0.078,3,-0.075
0.083333336,2.2626147,1.0,0.079,3,-0.083333336
0.083333336,1.7683179,0.33333334,0.08,1,-0.083333336
0.09166667,0.98648316,1.0,0.081,3,-0.09166667
0.058333334,1.3868935,0.33333334,0.082,1,-0.058333334
0.058333334,1.7808126,0.6666667,0.083,2,-0.058333334
0.041666668,2.3001049,0.33333334,0.084,1,-0.041666668
0.033333335,2.6992166,0.33333334,0.085,1,-0.033333335
0.033333335,1.7654383,0.6666667,0.086,2,-0.033333335
0.025,2.0374537,1.0,0.087,3,-0.025
0.033333335,2.098368,0.33333334,0.088,1,-0.033333335
0.008333334,2.7607565,0.0,0.089,0,-0.008333334
0.0,3.3592446,0.0,0.09,0,-0.0
0.025,3.174149,0.33333334,0.091,1,-0.025
0.008333334,3.7336283,0.33333334,0.092,1,-0.008333334
0.0,4.111662,0.0,0.093,0,-0.0
0.008333334,3.988025,0.0,0.094,0,-0.008333334
0.025,3.3626878,0.0,0.095,0,-0.025
0.008333334,3.599802,1.0,0.096,3,-0.008333334
0.008333334,3.7551458,0.33333334,0.097,1,-0.008333334
0.025,4.2315054,1.0,0.098,3,-0.025
0.033333335,4.3104687,1.0,0.099,3,-0.033333335
0.041666668,4.039208,0.0,0.1,0,-0.041666668
0.058333334,3.40881,0.0,0.101,0,-0.058333334
0.06666667,2.5648751,0.33333334,0.102,1,-0.06666667
0.058333334,2.3388927,0.6666667,0.103,2,-0.058333334
0.06666667,2.1751819,0.6666667,0.104,2,-0.06666667
0.05,2.3428142,0.0,0.105,0,-0.05
0.041666668,2.394211,0.0,0.106,0,-0.041666668
0.041666668,1.3291107,0.6666667,0.107,2,-0.041666668
0.058333334,1.3713543,0.33333334,0.108,1,-0.058333334
0.06666667,1.5527465,1.0,0.109,3,-0.06666667
0.058333334,1.8202163,0.6666667,0.11,2,-0.058333334
0.058333334,2.0956154,1.0,0.111,3,-0.058333334
0.041666668,2.5199833,0.0,0.112,0,-0.041666668
0.058333334,2.1906116,1.0,0.113,3,-0.058333334
0.058333334,2.4795,0.6666667,0.114,2,-0.058333334
0.058333334,1.5415643,1.0,0.115,3,-0.058333334
0.058333334,1.7438225,1.0,0.116,3,-0.058333334
0.083333336,1.7793214,0.0,0.117,0,-0.083333336
0.075,2.0285048,0.0,0.118,0,-0.075
0.083333336,1.6573726,0.0,0.119,0,-0.083333336
0.083333336,1.8795528,0.33333334,0.12,1,-0.083333336
0.09166667,1.8240203,0.33333334,0.121,1,-0.09166667
0.05,1.770789,0.33333334,0.122,1,-0.05
0.05,2.3251772,0.6666667,0.123,2,-0.05
0.058333334,2.3693843,0.33333334,0.124,1,-0.058333334
0.033333335,2.554672,1.0,0.125,3,-0.033333335
0.016666668,3.307586,1.0,0.126,3,-0.016666668
0.0,3.83439,0.6666667,0.127,2,-0.0
0.008333334,4.34061,0.6666667,0.128,2,-0.008333334
0.016666668,4.781808,0.0,0.129,0,-0.016666668
0.016666668,4.9180346,1.0,0.13,3,-0.016666668
0.05,3.6305773,1.0,0.131,3,-0.05
0.041666668,3.3436203,1.0,0.132,3,-0.041666668
0.05,2.5463521,0.0,0.133,0,-0.05
0.075,2.5393202,1.0,0.134,3,-0.075
0.09166667,2.281142,1.0,0.135,3,-0.09166667
0.09166667,2.4083726,0.6666667,0.136,2,-0.09166667
0.1,2.1134043,0.0,0.137,0,-0.1
0.125,1.5553329,0.6666667,0.138,2,-0.125
0.108333334,1.628905,0.33333334,0.139,1,-0.108333334
0.09166667,1.7469409,0.33333334,0.14,1,-0.09166667
0.083333336,1.5937757,0.0,0.141,0,-0.083333336
0.075,2.0619333,1.0,0.142,3,-0.075
0.058333334,2.6315796,0.33333334,0.143,1,-0.058333334
0.041666668,2.6315157,0.33333334,0.144,1,-0.041666668
0.025,3.1676257,0.33333334,0.145,1,-0.025
0.008333334,3.036299,0.0,0.146,0,-0.008333334
0.008333334,3.4214454,1.0,0.147,3,-0.008333334
0.0,3.8704853,0.33333334,0.148,1,-0.0
0.008333334,4.0949435,0.6666667,0.149,2,-0.008333334
0.033333335,3.324975,1.0,0.15,3,-0.033333335
0.033333335,2.61215,0.0,0.151,0,-0.033333335
0.033333335,2.4001904,0.0,0.152,0,-0.033333335
0.05,1.9979887,0.6666667,0.153,2,-0.05
0.06666667,1.0280654,0.0,0.154,0,-0.06666667
0.083333336,1.064388,1.0,0.155,3,-0.083333336
0.083333336,1.2786502,0.0,0.156,0,-0.083333336
0.083333336,1.5394194,0.0,0.157,0,-0.083333336
0.09166667,1.4374756,0.33333334,0.158,1,-0.09166667
0.075,1.8957403,1.0,0.159,3,-0.075
0.075,2.2738037,0.0,0.16,0,-0.075
0.06666667,2.521879,0.33333334,0.161,1,-0.06666667
0.05,2.4947891,0.6666667,0.162,2,-0.05
0.05,2.577622,0.0,0.163,0,-0.05
0.033333335,2.259953,1.0,0.164,3,-0.033333335
0.016666668,2.0477333,1.0,0.165,3,-0.016666668
0.025,2.0607316,0.33333334,0.166,1,-0.025
0.016666668,2.1080964,0.0,0.167,0,-0.016666668
0.05,2.1526577,1.0,0.168,3,-0.05
0.058333334,1.0658144,1.0,0.169,3,-0.058333334
0.09166667,1.031213,1.0,0.17,3,-0.09166667
0.09166667,1.0820622,0.0,0.171,0,-0.09166667
0.075,1.4540988,0.33333334,0.172,1,-0.075
0.06666667,1.7741843,0.33333334,0.173,1,-0.06666667
0.05,2.2237623,0.6666667,0.174,2,-0.05
0.05,1.468294,1.0,0.175,3,-0.05
0.05,1.8033024,0.0,0.176,0,-0.05
0.041666668,1.996535,1.0,0.177,3,-0.041666668
0.05,2.0189703,1.0,0.178,3,-0.05
0.05,2.2810578,0.0,0.179,0,-0.05
0.041666668,2.592581,0.6666667,0.18,2,-0.041666668
0.05,2.4888432,0.0,0.181,0,-0.05
0.041666668,1.8306971,1.0,0.182,3,-0.041666668
0.058333334,1.9857765,0.6666667,0.183,2,-0.058333334
0.058333334,2.3075738,0.6666667,0.184,2,-0.058333334
0.09166667,1.7362547,1.0,0.185,3,-0.09166667
0.09166667,1.4046924,1.0,0.186,3,-0.09166667
0.1,1.6551219,0.6666667,0.187,2,-0.1
0.1,1.9912083,0.0,0.188,0,-0.1
0.09166667,2.346517,0.33333334,0.189,1,-0.09166667
0.09166667,2.4542925,0.6666667,0.19,2,-0.09166667
0.09166667,2.0143137,0.6666667,0.191,2,-0.09166667
0.075,1.5528188,0.33333334,0.192,1,-0.075
0.075,1.7340683,0.0,0.193,0,-0.075
0.058333334,1.8188224,0.33333334,0.194,1,-0.058333334
0.025,1.9750699,1.0,0.195,3,-0.025
0.008333334,2.053379,1.0,0.196,3,-0.008333334
0.016666668,2.3065279,0.33333334,0.197,1,-0.016666668
0.041666668,2.4008865,1.0,0.198,3,-0.041666668
0.033333335,2.6477811,0.0,0.199,0,-0.033333335
0.058333334,2.0830715,0.0,0.2,0,-0.058333334
0.041666668,2.2369652,0.33333334,0.201,1,-0.041666668
0.05,2.5001307,0.0,0.202,0,-0.05
0.05,2.105812,0.33333334,0.203,1,-0.05
0.041666668,1.7280958,0.33333334,0.204,1,-0.041666668
0.033333335,1.8813177,1.0,0.205,3,-0.033333335
0.0,2.1775086,0.6666667,0.206,2,-0.0
0.0,2.3896391,0.6666667,0.207,2,-0.0
0.0,2.2975888,0.0,0.208,0,-0.0
0.016666668,1.8835782,0.0,0.209,0,-0.016666668
0.033333335,2.0954316,0.0,0.21,0,-0.033333335
0.05,2.092512,0.0,0.211,0,-0.05
0.05,1.736661,0.6666667,0.212,2,-0.05
0.075,1.7996658,0.0,0.213,0,-0.075
