Queue length,Speed,Phase,Step,Action,Reward
0.033333335,0.0,0.33333334,0.001,1,-0.033333335
0.0,1.1364625,0.6666667,0.002,2,-0.0
0.0,2.3420193,0.33333334,0.003,1,-0.0
0.016666668,2.2771235,1.0,0.004,3,-0.016666668
0.016666668,2.4912014,0.6666667,0.005,2,-0.016666668
0.0,3.6269915,0.33333334,0.006,1,-0.0
0.0,4.7752504,1.0,0.007,3,-0.0
0.0,6.005069,0.33333334,0.008,1,-0.0
0.016666668,5.676401,0.33333334,0.009,1,-0.016666668
0.0,6.0235896,1.0,0.01,3,-0.0
0.0,5.724898,0.33333334,0.011,1,-0.0
0.008333334,6.1024446,0.33333334,0.012,1,-0.008333334
0.016666668,6.100829,0.33333334,0.013,1,-0.016666668
0.016666668,6.2180834,0.6666667,0.014,2,-0.016666668
0.025,4.7196517,0.33333334,0.015,1,-0.025
0.041666668,4.144249,0.6666667,0.016,2,-0.041666668
0.016666668,4.6306167,0.0,0.017,0,-0.016666668
0.016666668,2.6337929,0.0,0.018,0,-0.016666668
0.0,2.8991978,1.0,0.019,3,-0.0
0.016666668,3.1360857,0.0,0.02,0,-0.016666668
0.008333334,3.5133905,1.0,0.021,3,-0.008333334
0.016666668,4.175966,1.0,0.022,3,-0.016666668
0.041666668,3.8915138,0.0,0.023,0,-0.041666668
0.033333335,3.4588773,0.33333334,0.024,1,-0.033333335
0.033333335,3.5374236,0.0,0.025,0,-0.033333335
0.033333335,3.475258,0.0,0.026,0,-0.033333335
0.041666668,2.8369803,0.6666667,0.027,2,-0.041666668
0.041666668,3.1914713,0.6666667,0.028,2,-0.041666668
0.05,2.6416614,0.0,0.029,0,-0.05
0.06666667,1.7457305,0.0,0.03,0,-0.06666667
0.06666667,1.2687266,0.6666667,0.031,2,-0.06666667
0.05,1.4312005,0.6666667,0.032,2,-0.05
0.06666667,0.81531715,0.0,0.033,0,-0.06666667
0.06666667,1.2076992,1.0,0.034,3,-0.06666667
0.05,1.7722626,0.0,0.035,0,-0.05
0.016666668,2.5358622,1.0,0.036,3,-0.016666668
0.016666668,2.8063529,1.0,0.037,3,-0.016666668
0.0,3.1716597,0.33333334,0.038,1,-0.0
0.0,4.0036116,1.0,0.039,3,-0.0
0.0,4.653294,1.0,0.04,3,-0.0
0.0,5.199025,0.0,0.041,0,-0.0
0.0,5.4806757,1.0,0.042,3,-0.0
0.0,5.433379,1.0,0.043,3,-0.0
0.016666668,5.565715,0.6666667,0.044,2,-0.016666668
0.041666668,3.6822038,1.0,0.045,3,-0.041666668
0.033333335,3.8827384,1.0,0.046,3,-0.033333335
0.033333335,4.1917925,1.0,0.047,3,-0.033333335
