Queue length,Speed,Phase,Step,Action,Reward
0.033333335,0.0,1.0,0.001,3,-0.033333335
0.0,1.1364625,0.33333334,0.002,1,-0.0
0.0,2.3420193,0.6666667,0.003,2,-0.0
0.016666668,2.2771235,0.0,0.004,0,-0.016666668
0.016666668,2.4912014,0.6666667,0.005,2,-0.016666668
0.0,3.6269915,0.0,0.006,0,-0.0
0.0,4.7752504,1.0,0.007,3,-0.0
0.0,6.005069,0.33333334,0.008,1,-0.0
0.0,6.9930186,0.0,0.009,0,-0.0
0.0,7.430591,0.33333334,0.01,1,-0.0
0.0,7.751042,0.33333334,0.011,1,-0.0
0.0,7.7627935,0.6666667,0.012,2,-0.0
0.0,7.443005,0.33333334,0.013,1,-0.0
0.008333334,7.1309347,0.0,0.014,0,-0.008333334
0.016666668,5.700674,0.33333334,0.015,1,-0.016666668
0.016666668,5.1119666,0.0,0.016,0,-0.016666668
0.025,1.9954381,0.33333334,0.017,1,-0.025
0.016666668,2.7486713,1.0,0.018,3,-0.016666668
0.016666668,3.359053,0.6666667,0.019,2,-0.016666668
0.016666668,4.1224036,0.0,0.02,0,-0.016666668
0.016666668,4.7314706,0.6666667,0.021,2,-0.016666668
0.016666668,5.383554,0.6666667,0.022,2,-0.016666668
0.016666668,4.940613,0.0,0.023,0,-0.016666668
0.016666668,5.438504,0.0,0.024,0,-0.016666668
0.016666668,4.3161473,0.0,0.025,0,-0.016666668
0.016666668,5.003463,0.33333334,0.026,1,-0.016666668
0.016666668,5.5809617,0.0,0.027,0,-0.016666668
0.016666668,6.211857,0.6666667,0.028,2,-0.016666668
0.016666668,3.9591122,0.6666667,0.029,2,-0.016666668
0.016666668,0.0,0.6666667,0.03,2,-0.016666668
0.05,0.0,0.0,0.031,0,-0.05
0.016666668,0.5968763,0.0,0.032,0,-0.016666668
0.016666668,1.3711804,0.0,0.033,0,-0.016666668
0.0,2.4838536,1.0,0.034,3,-0.0
0.033333335,2.1670494,0.6666667,0.035,2,-0.033333335
0.0,3.2259057,0.33333334,0.036,1,-0.0
