Phase Durations,Average Waiting Time
"(10, 10, 10, 10)",7.345989362202985
"(10, 10, 10, 20)",10.920304609595995
"(10, 10, 10, 30)",14.361263581099657
"(10, 10, 10, 40)",18.64041810964769
"(10, 10, 20, 10)",10.964534998360474
"(10, 10, 20, 20)",14.574152860192484
"(10, 10, 20, 30)",18.636326108097567
"(10, 10, 20, 40)",22.42115299192477
"(10, 10, 30, 10)",14.777058295969299
"(10, 10, 30, 20)",18.702861550013008
"(10, 10, 30, 30)",22.428005873357808
"(10, 10, 30, 40)",24.72893782740823
"(10, 10, 40, 10)",18.856966127262233
"(10, 10, 40, 20)",22.591247625482605
"(10, 10, 40, 30)",24.842808798177114
"(10, 10, 40, 40)",28.481223417236084
"(10, 20, 10, 10)",5.836344519369519
"(10, 20, 10, 20)",8.83513135042632
"(10, 20, 10, 30)",12.096039016144637
"(10, 20, 10, 40)",16.39314104377239
"(10, 20, 20, 10)",7.820093400106946
"(10, 20, 20, 20)",11.8741251114305
"(10, 20, 20, 30)",16.102996832535855
"(10, 20, 20, 40)",18.754989862939443
"(10, 20, 30, 10)",11.84696004330003
"(10, 20, 30, 20)",15.932737639905476
"(10, 20, 30, 30)",19.031441257674363
"(10, 20, 30, 40)",22.450455978141974
"(10, 20, 40, 10)",16.02587216591762
"(10, 20, 40, 20)",19.167413760908733
"(10, 20, 40, 30)",22.458087011857252
"(10, 20, 40, 40)",25.143248840522052
"(10, 30, 10, 10)",7.267170312857078
"(10, 30, 10, 20)",9.429785452301395
"(10, 30, 10, 30)",11.346592065059424
"(10, 30, 10, 40)",14.109665257324375
"(10, 30, 20, 10)",9.383186050000912
"(10, 30, 20, 20)",10.87847079682817
"(10, 30, 20, 30)",14.692760794594047
"(10, 30, 20, 40)",19.237950383716456
"(10, 30, 30, 10)",10.946212122729799
"(10, 30, 30, 20)",15.029313279785978
"(10, 30, 30, 30)",19.147916266973603
"(10, 30, 30, 40)",22.38185071921453
"(10, 30, 40, 10)",14.380447612271949
"(10, 30, 40, 20)",18.797838736127098
"(10, 30, 40, 30)",21.976235788977352
"(10, 30, 40, 40)",26.972793336541265
"(10, 40, 10, 10)",9.734177946726478
"(10, 40, 10, 20)",10.88677044675311
"(10, 40, 10, 30)",14.032768358646782
"(10, 40, 10, 40)",15.425579168237775
"(10, 40, 20, 10)",10.88695747690562
"(10, 40, 20, 20)",14.631598844202715
"(10, 40, 20, 30)",15.214450605913806
"(10, 40, 20, 40)",18.138418921987057
"(10, 40, 30, 10)",13.240905387460389
"(10, 40, 30, 20)",14.532061083354609
"(10, 40, 30, 30)",17.414916427846716
"(10, 40, 30, 40)",23.245412521512975
"(10, 40, 40, 10)",14.569293800665434
"(10, 40, 40, 20)",17.303960239025223
"(10, 40, 40, 30)",23.60927362998361
"(10, 40, 40, 40)",25.682726944172828
"(20, 10, 10, 10)",10.41753852282049
"(20, 10, 10, 20)",14.794601533494026
"(20, 10, 10, 30)",17.61855222512079
"(20, 10, 10, 40)",21.107632873777707
"(20, 10, 20, 10)",14.748980338499836
"(20, 10, 20, 20)",17.683462410336855
"(20, 10, 20, 30)",20.99622433536536
"(20, 10, 20, 40)",24.007742182609125
"(20, 10, 30, 10)",17.92840631714758
"(20, 10, 30, 20)",21.249735687350743
"(20, 10, 30, 30)",24.298195840367587
"(20, 10, 30, 40)",27.58656941768399
"(20, 10, 40, 10)",21.554340164645932
"(20, 10, 40, 20)",24.407095662722806
"(20, 10, 40, 30)",27.904378279817802
"(20, 10, 40, 40)",30.851703540449172
"(20, 20, 10, 10)",7.484769907380201
"(20, 20, 10, 20)",10.963747262074834
"(20, 20, 10, 30)",15.338575625757684
"(20, 20, 10, 40)",17.866926378407644
"(20, 20, 20, 10)",11.14515852297334
"(20, 20, 20, 20)",15.205489657933413
"(20, 20, 20, 30)",18.437692244440175
"(20, 20, 20, 40)",21.3085386696176
"(20, 20, 30, 10)",15.50897581415484
"(20, 20, 30, 20)",18.791807670360804
"(20, 20, 30, 30)",21.405142645668395
"(20, 20, 30, 40)",25.185985983218032
"(20, 20, 40, 10)",18.664625535902008
"(20, 20, 40, 20)",21.419647649930297
"(20, 20, 40, 30)",25.063692726910908
"(20, 20, 40, 40)",29.400476793356358
"(20, 30, 10, 10)",9.515770704149652
"(20, 30, 10, 20)",10.645974531737613
"(20, 30, 10, 30)",15.321206265998475
"(20, 30, 10, 40)",18.493726035223045
"(20, 30, 20, 10)",11.058337928059213
"(20, 30, 20, 20)",15.859138579557698
"(20, 30, 20, 30)",18.461414010246983
"(20, 30, 20, 40)",22.527908266528716
"(20, 30, 30, 10)",14.995256873644768
"(20, 30, 30, 20)",18.120567038556977
"(20, 30, 30, 30)",22.02979324781708
"(20, 30, 30, 40)",26.286745001720043
"(20, 30, 40, 10)",18.20218094077141
"(20, 30, 40, 20)",22.11009923415354
"(20, 30, 40, 30)",26.692918643021088
"(20, 30, 40, 40)",28.122127453131384
"(20, 40, 10, 10)",11.08326744543726
"(20, 40, 10, 20)",13.99003579813719
"(20, 40, 10, 30)",14.986358508820715
"(20, 40, 10, 40)",17.894331947825616
"(20, 40, 20, 10)",12.494564109609001
"(20, 40, 20, 20)",14.440099385306068
"(20, 40, 20, 30)",17.181254712171214
"(20, 40, 20, 40)",22.108800139665522
"(20, 40, 30, 10)",14.62164765997198
"(20, 40, 30, 20)",17.19503951762645
"(20, 40, 30, 30)",22.7475313718463
"(20, 40, 30, 40)",24.849663848307863
"(20, 40, 40, 10)",17.341001943914772
"(20, 40, 40, 20)",23.14567674561567
"(20, 40, 40, 30)",24.756053755824325
"(20, 40, 40, 40)",27.883705635041142
"(30, 10, 10, 10)",14.395974676510281
"(30, 10, 10, 20)",17.34200426874467
"(30, 10, 10, 30)",21.022268835053612
"(30, 10, 10, 40)",24.149391378959876
"(30, 10, 20, 10)",17.65127276832327
"(30, 10, 20, 20)",21.17459431375896
"(30, 10, 20, 30)",24.653550512844344
"(30, 10, 20, 40)",27.136792991352884
"(30, 10, 30, 10)",21.539463011846816
"(30, 10, 30, 20)",24.92542499253002
"(30, 10, 30, 30)",27.41581359313986
"(30, 10, 30, 40)",31.128880301490586
"(30, 10, 40, 10)",25.5869716192734
"(30, 10, 40, 20)",27.696591520461862
"(30, 10, 40, 30)",31.374746874885556
"(30, 10, 40, 40)",35.22292532607347
"(30, 20, 10, 10)",11.576051919214331
"(30, 20, 10, 20)",14.870132468762524
"(30, 20, 10, 30)",18.929679523589957
"(30, 20, 10, 40)",21.21350232616309
"(30, 20, 20, 10)",15.274404455302154
"(30, 20, 20, 20)",19.52182446050552
