Queue length,Speed,Phase,Step,Action,Reward,Total Queue Length
0.1,0.0,0.0,0.001001001,0,-0.1,0
0.0,1.1364625,0.6666667,0.002002002,2,-0.0,4
0.0,2.3420193,0.33333334,0.003003003,1,-0.0,0
0.05,2.2771235,1.0,0.004004004,3,-0.05,0
0.05,2.4912014,0.0,0.005005005,0,-0.05,2
0.0,3.6269915,0.0,0.006006006,0,-0.0,2
0.0,4.7752504,0.6666667,0.007007007,2,-0.0,0
0.0,6.005069,0.33333334,0.008008008,1,-0.0,0
0.05,5.676401,0.33333334,0.009009009,1,-0.05,0
0.0,6.231009,0.33333334,0.01001001,1,-0.0,2
0.0,5.972931,0.0,0.011011011,0,-0.0,0
0.0,6.596462,1.0,0.012012012,3,-0.0,0
0.025,6.6806006,0.6666667,0.013013013,2,-0.025,0
0.025,6.134302,1.0,0.014014014,3,-0.025,1
0.05,5.564888,1.0,0.015015015,3,-0.05,1
0.1,4.8848047,0.6666667,0.016016016,2,-0.1,2
0.05,4.8715553,1.0,0.017017016,3,-0.05,4
0.075,5.143924,0.6666667,0.018018018,2,-0.075,2
0.05,5.7114773,0.33333334,0.019019019,1,-0.05,3
0.0,5.9479017,0.0,0.02002002,0,-0.0,2
0.025,6.1517487,0.33333334,0.021021022,1,-0.025,0
0.025,7.311686,1.0,0.022022022,3,-0.025,1
0.075,6.4025173,0.33333334,0.023023022,1,-0.075,1
0.025,6.3823485,0.33333334,0.024024025,1,-0.025,3
0.025,6.32868,1.0,0.025025025,3,-0.025,1
0.025,5.673995,0.6666667,0.026026025,2,-0.025,1
0.025,6.472721,0.33333334,0.027027028,1,-0.025,1
0.025,7.2718225,0.33333334,0.028028028,1,-0.025,1
0.025,7.6319017,1.0,0.029029028,3,-0.025,1
0.075,5.5842986,0.6666667,0.03003003,2,-0.075,1
0.05,5.366006,0.0,0.031031031,0,-0.05,3
0.0,5.5133533,0.33333334,0.03203203,1,-0.0,2
0.0,5.1845427,0.6666667,0.033033032,2,-0.0,0
0.075,4.44668,1.0,0.034034032,3,-0.075,0
0.1,2.6858983,1.0,0.035035037,3,-0.1,3
0.0,3.8796036,0.33333334,0.036036037,1,-0.0,4
0.075,4.1644135,1.0,0.037037037,3,-0.075,0
0.0,5.190707,0.33333334,0.038038038,1,-0.0,3
0.0,5.9453187,1.0,0.039039038,3,-0.0,0
0.0,6.1793704,0.0,0.04004004,0,-0.0,0
0.0,5.256241,0.6666667,0.041041043,2,-0.0,0
0.0,5.2446494,0.0,0.042042043,0,-0.0,0
0.0,5.834402,0.33333334,0.043043043,1,-0.0,0
0.0,5.9774265,1.0,0.044044044,3,-0.0,0
0.1,4.7994604,0.33333334,0.045045044,1,-0.1,0
0.05,4.7321386,0.0,0.046046045,0,-0.05,4
0.05,4.39573,0.6666667,0.04704705,2,-0.05,2
0.075,3.6515617,0.33333334,0.04804805,1,-0.075,2
0.05,3.0875986,1.0,0.04904905,3,-0.05,3
0.1,3.4405935,0.33333334,0.05005005,1,-0.1,2
0.1,4.013695,0.6666667,0.05105105,2,-0.1,4
0.15,3.8556507,0.33333334,0.05205205,1,-0.15,4
0.1,4.27301,0.6666667,0.05305305,2,-0.1,6
0.075,3.7329392,1.0,0.054054055,3,-0.075,4
0.075,2.947838,0.0,0.055055056,0,-0.075,3
0.075,2.1978781,1.0,0.056056056,3,-0.075,3
0.05,2.729829,0.33333334,0.057057057,1,-0.05,3
0.05,3.437968,0.0,0.058058057,0,-0.05,2
0.1,3.448314,0.33333334,0.059059057,1,-0.1,2
0.05,4.004741,0.33333334,0.06006006,1,-0.05,4
0.1,3.011585,1.0,0.061061062,3,-0.1,2
0.05,3.2378182,1.0,0.062062062,3,-0.05,4
0.1,3.1460435,0.0,0.06306306,0,-0.1,2
0.075,3.709689,0.33333334,0.06406406,1,-0.075,4
0.05,3.7324374,0.6666667,0.06506506,2,-0.05,3
0.075,4.094341,0.33333334,0.066066064,1,-0.075,2
0.05,4.410257,0.0,0.067067064,0,-0.05,3
0.025,5.0079327,0.33333334,0.068068065,1,-0.025,2
0.05,4.849719,0.33333334,0.06906907,1,-0.05,1
0.05,4.9743247,0.0,0.07007007,0,-0.05,2
