Queue length,Speed,Phase,Step,Action,Reward,Total Queue Length
0.1,0.0,0.0,0.001001001,0,-0.1,0
0.0,1.1364625,1.0,0.002002002,3,-0.0,4
0.0,2.3420193,0.33333334,0.003003003,1,-0.0,0
0.05,2.2771235,0.0,0.004004004,0,-0.05,0
0.05,2.4912014,1.0,0.005005005,3,-0.05,2
0.0,3.6269915,0.6666667,0.006006006,2,-0.0,2
0.0,4.7752504,0.6666667,0.007007007,2,-0.0,0
0.0,6.005069,0.6666667,0.008008008,2,-0.0,0
0.0,7.0955014,0.33333334,0.009009009,1,-0.0,0
0.0,6.6234083,0.6666667,0.01001001,2,-0.0,0
0.0,5.948421,0.6666667,0.011011011,2,-0.0,0
0.025,5.8758736,1.0,0.012012012,3,-0.025,0
0.025,5.6410093,1.0,0.013013013,3,-0.025,1
0.0,4.8989773,0.33333334,0.014014014,1,-0.0,1
0.025,4.376045,0.0,0.015015015,0,-0.025,0
0.025,4.1652994,0.0,0.016016016,0,-0.025,1
0.05,4.4481444,0.0,0.017017016,0,-0.05,1
0.075,5.0075927,1.0,0.018018018,3,-0.075,2
0.075,5.4997783,1.0,0.019019019,3,-0.075,3
0.05,5.1850157,0.33333334,0.02002002,1,-0.05,3
0.05,4.737255,0.0,0.021021022,0,-0.05,2
0.0,5.598037,0.6666667,0.022022022,2,-0.0,2
0.05,4.635729,1.0,0.023023022,3,-0.05,0
0.05,5.30457,0.33333334,0.024024025,1,-0.05,2
0.0,4.95201,0.6666667,0.025025025,2,-0.0,2
0.0,5.960625,0.33333334,0.026026025,1,-0.0,0
0.0,6.720297,0.33333334,0.027027028,1,-0.0,0
0.0,6.5384045,0.33333334,0.028028028,1,-0.0,0
0.0,7.7277145,0.33333334,0.029029028,1,-0.0,0
0.0,9.113961,1.0,0.03003003,3,-0.0,0
0.1,2.7931998,0.33333334,0.031031031,1,-0.1,0
0.0,4.072636,0.0,0.03203203,0,-0.0,4
0.0,5.153297,0.0,0.033033032,0,-0.0,0
0.0,6.285765,0.0,0.034034032,0,-0.0,0
0.1,3.329357,0.0,0.035035037,0,-0.1,0
0.0,3.3853152,1.0,0.036036037,3,-0.0,4
0.0,4.712203,0.33333334,0.037037037,1,-0.0,0
0.0,5.9660983,0.33333334,0.038038038,1,-0.0,0
0.0,7.19835,0.6666667,0.039039038,2,-0.0,0
0.0,7.728221,0.33333334,0.04004004,1,-0.0,0
0.0,6.0072103,0.6666667,0.041041043,2,-0.0,0
0.025,4.7882767,0.6666667,0.042042043,2,-0.025,0
0.0,4.3958416,0.33333334,0.043043043,1,-0.0,1
0.025,3.394043,0.6666667,0.044044044,2,-0.025,0
0.075,2.4758685,0.6666667,0.045045044,2,-0.075,1
0.075,1.845899,0.33333334,0.046046045,1,-0.075,3
0.05,2.0341365,0.0,0.04704705,0,-0.05,3
0.075,2.7332835,0.0,0.04804805,0,-0.075,2
0.05,3.4501631,1.0,0.04904905,3,-0.05,3
0.05,4.462061,1.0,0.05005005,3,-0.05,2
0.05,5.506762,0.33333334,0.05105105,1,-0.05,2
0.05,6.2556443,1.0,0.05205205,3,-0.05,2
0.05,6.5264206,0.33333334,0.05305305,1,-0.05,2
0.05,6.0867066,0.0,0.054054055,0,-0.05,2
0.05,5.0399632,0.0,0.055055056,0,-0.05,2
0.05,5.552496,1.0,0.056056056,3,-0.05,2
0.05,5.987937,0.0,0.057057057,0,-0.05,2
0.05,5.2129908,0.33333334,0.058058057,1,-0.05,2
0.05,5.757588,1.0,0.059059057,3,-0.05,2
0.0,6.6436534,0.6666667,0.06006006,2,-0.0,2
0.15,0.0,0.33333334,0.061061062,1,-0.15,0
0.0,1.2353766,0.6666667,0.062062062,2,-0.0,6
0.0,2.3099375,0.33333334,0.06306306,1,-0.0,0
0.025,2.9661474,0.0,0.06406406,0,-0.025,0
0.075,2.8449557,1.0,0.06506506,3,-0.075,1
0.0,4.0291543,0.6666667,0.066066064,2,-0.0,3
0.0,5.1120415,0.33333334,0.067067064,1,-0.0,0
0.0,6.3255067,0.33333334,0.068068065,1,-0.0,0
0.0,7.5701756,0.33333334,0.06906907,1,-0.0,0
0.0,7.576129,0.6666667,0.07007007,2,-0.0,0
0.0,8.152761,0.33333334,0.07107107,1,-0.0,0
0.0,7.552674,0.33333334,0.072072074,1,-0.0,0
0.0,6.818015,1.0,0.073073074,3,-0.0,0
0.0,6.7258906,0.0,0.074074075,0,-0.0,0
0.0,5.963367,0.0,0.075075075,0,-0.0,0
0.025,5.5862036,0.33333334,0.076076075,1,-0.025,0
0.05,5.839054,0.0,0.077077076,0,-0.05,1
0.05,5.395781,0.0,0.078078076,0,-0.05,2
0.05,5.1890836,0.0,0.07907908,0,-0.05,2
0.05,5.9540954,0.0,0.08008008,0,-0.05,2
0.05,6.804368,0.33333334,0.08108108,1,-0.05,2
0.0,6.9327936,0.6666667,0.082082085,2,-0.0,2
0.0,6.7466125,0.6666667,0.083083086,2,-0.0,0
0.0,7.9392667,0.6666667,0.084084086,2,-0.0,0
0.0,8.782096,0.6666667,0.08508509,2,-0.0,0
0.0,5.42731,0.0,0.08608609,0,-0.0,0
0.0,6.405829,0.0,0.08708709,0,-0.0,0
0.0,7.503185,1.0,0.08808809,3,-0.0,0
0.0,8.318701,0.0,0.08908909,0,-0.0,0
0.0,9.530078,0.0,0.09009009,0,-0.0,0
0.1,3.5845356,0.33333334,0.09109109,1,-0.1,0
0.0,4.7600284,1.0,0.09209209,3,-0.0,4
0.0,4.3627286,0.33333334,0.09309309,1,-0.0,0
0.0,3.4251268,1.0,0.0940941,3,-0.0,0
0.1,2.2817788,0.33333334,0.0950951,1,-0.1,0
0.0,3.50327,0.33333334,0.0960961,1,-0.0,4
0.0,4.7834716,0.33333334,0.0970971,1,-0.0,0
0.0,6.0015244,0.6666667,0.0980981,2,-0.0,0
0.0,7.240342,0.33333334,0.0990991,1,-0.0,0
0.0,7.0263515,0.6666667,0.1001001,2,-0.0,0
0.0,7.1210732,0.33333334,0.1011011,1,-0.0,0
0.025,5.9358044,0.0,0.1021021,0,-0.025,0
0.075,5.5591297,0.0,0.1031031,0,-0.075,1
0.075,5.029183,0.0,0.1041041,0,-0.075,3
0.05,3.9517272,0.33333334,0.1051051,1,-0.05,3
0.0,3.124147,1.0,0.1061061,3,-0.0,2
0.1,3.2140057,0.0,0.10710711,0,-0.1,0
0.075,3.527869,1.0,0.10810811,3,-0.075,4
0.075,3.0277019,0.0,0.10910911,0,-0.075,3
0.075,3.5166097,0.0,0.11011011,0,-0.075,3
0.075,2.5353024,1.0,0.11111111,3,-0.075,3
0.025,3.348544,0.6666667,0.11211211,2,-0.025,3
0.05,3.667299,0.0,0.11311311,0,-0.05,1
0.05,4.4459076,0.0,0.11411411,0,-0.05,2
0.025,5.2083745,0.6666667,0.11511511,2,-0.025,2
0.05,4.317236,0.0,0.116116114,0,-0.05,1
0.05,5.0049467,1.0,0.117117114,3,-0.05,2
0.05,5.528803,1.0,0.118118115,3,-0.05,2
0.05,6.045247,0.0,0.11911912,0,-0.05,2
0.05,5.065378,0.33333334,0.12012012,1,-0.05,2
0.1,1.7575521,0.6666667,0.12112112,2,-0.1,2
0.0,3.0111237,0.0,0.122122124,0,-0.0,4
0.0,4.156429,0.6666667,0.123123124,2,-0.0,0
0.025,3.4452484,0.6666667,0.124124125,2,-0.025,0
0.05,3.6022897,1.0,0.12512513,3,-0.05,1
0.0,4.7433777,0.0,0.12612613,0,-0.0,2
0.0,5.9843946,0.6666667,0.12712713,2,-0.0,0
0.0,7.324666,1.0,0.12812813,3,-0.0,0
0.0,8.511928,0.6666667,0.12912913,2,-0.0,0
0.0,8.319674,0.0,0.13013013,0,-0.0,0
0.0,7.1934333,0.0,0.13113113,0,-0.0,0
0.0,4.8839564,0.6666667,0.13213213,2,-0.0,0
0.025,3.601728,1.0,0.13313313,3,-0.025,0
0.1,2.9797535,0.6666667,0.13413413,2,-0.1,1
0.1,2.8115923,0.6666667,0.13513513,2,-0.1,4
0.1,2.4929466,0.6666667,0.13613613,2,-0.1,4
0.125,2.78352,0.6666667,0.13713713,2,-0.125,4
0.125,3.0396106,0.6666667,0.13813815,2,-0.125,5
0.125,3.4060605,0.6666667,0.13913915,2,-0.125,5
0.1,3.8656213,1.0,0.14014015,3,-0.1,5
0.1,0.3600356,1.0,0.14114115,3,-0.1,4
0.1,0.52317864,0.6666667,0.14214215,2,-0.1,4
0.1,0.8105636,1.0,0.14314315,3,-0.1,4
0.1,0.9926847,0.6666667,0.14414415,2,-0.1,4
0.05,1.8565222,0.0,0.14514515,0,-0.05,4
0.05,2.8088944,1.0,0.14614615,3,-0.05,2
0.05,3.6526155,1.0,0.14714715,3,-0.05,2
0.05,4.3520484,1.0,0.14814815,3,-0.05,2
0.05,5.1967263,1.0,0.14914915,3,-0.05,2
0.05,6.1443686,1.0,0.15015015,3,-0.05,2
0.1,3.8375647,0.33333334,0.15115115,1,-0.1,2
0.0,3.7520127,0.33333334,0.15215215,1,-0.0,4
0.0,3.593929,0.33333334,0.15315315,1,-0.0,0
0.0,4.7156715,0.33333334,0.15415415,1,-0.0,0
0.075,2.9910781,0.33333334,0.15515515,1,-0.075,0
0.0,4.1940246,0.33333334,0.15615615,1,-0.0,3
0.0,5.4694843,0.33333334,0.15715715,1,-0.0,0
0.0,6.6084323,0.33333334,0.15815815,1,-0.0,0
0.0,7.859073,1.0,0.15915915,3,-0.0,0
0.0,8.061401,0.0,0.16016015,0,-0.0,0
0.0,7.6230807,0.0,0.16116115,0,-0.0,0
0.025,7.1166067,0.0,0.16216215,0,-0.025,0
0.05,4.193141,0.0,0.16316317,0,-0.05,1
0.1,3.74365,0.0,0.16416417,0,-0.1,2
0.1,3.1645918,0.0,0.16516517,0,-0.1,4
0.1,3.0386157,0.0,0.16616617,0,-0.1,4
0.1,3.1731377,0.0,0.16716717,0,-0.1,4
0.075,3.6649942,0.6666667,0.16816817,2,-0.075,4
0.075,3.9871724,1.0,0.16916917,3,-0.075,3
0.05,2.6942286,0.33333334,0.17017017,1,-0.05,3
0.075,2.8667684,1.0,0.17117117,3,-0.075,2
0.075,1.3168417,0.6666667,0.17217217,2,-0.075,3
0.05,2.0530007,1.0,0.17317317,3,-0.05,3
0.05,2.7546682,1.0,0.17417417,3,-0.05,2
0.05,3.518041,0.6666667,0.17517518,2,-0.05,2
0.05,4.175152,0.6666667,0.17617618,2,-0.05,2
0.05,4.9322166,0.6666667,0.17717718,2,-0.05,2
0.05,5.5288653,0.6666667,0.17817818,2,-0.05,2
0.05,4.4900837,0.6666667,0.17917918,2,-0.05,2
0.0,5.5095725,0.33333334,0.18018018,1,-0.0,2
0.1,3.3079216,0.33333334,0.18118118,1,-0.1,0
0.0,4.510458,0.33333334,0.18218218,1,-0.0,4
0.0,4.424428,0.33333334,0.18318318,1,-0.0,0
0.0,4.1372814,0.33333334,0.18418418,1,-0.0,0
0.075,3.5078568,0.0,0.18518518,0,-0.075,0
0.0,4.5958805,0.0,0.18618618,0,-0.0,3
0.0,5.9908566,0.6666667,0.18718718,2,-0.0,0
0.0,7.166398,0.33333334,0.1881882,1,-0.0,0
0.0,8.134253,1.0,0.1891892,3,-0.0,0
0.0,8.639604,0.33333334,0.1901902,1,-0.0,0
0.0,8.441611,0.33333334,0.1911912,1,-0.0,0
0.0,7.2513046,0.33333334,0.1921922,1,-0.0,0
0.0,7.5558295,0.0,0.1931932,0,-0.0,0
0.025,7.549799,0.0,0.1941942,0,-0.025,0
0.025,6.24899,1.0,0.1951952,3,-0.025,1
0.025,6.4935217,0.6666667,0.1961962,2,-0.025,1
0.05,5.8205857,1.0,0.1971972,3,-0.05,1
0.05,5.2949166,1.0,0.1981982,3,-0.05,2
0.05,6.0305448,1.0,0.1991992,3,-0.05,2
0.05,4.08232,1.0,0.2002002,3,-0.05,2
0.05,4.7811007,1.0,0.2012012,3,-0.05,2
0.05,5.4171085,1.0,0.2022022,3,-0.05,2
0.025,5.9916606,0.6666667,0.2032032,2,-0.025,2
0.025,6.2253065,1.0,0.2042042,3,-0.025,1
0.025,4.95692,1.0,0.2052052,3,-0.025,1
0.025,2.2027566,1.0,0.2062062,3,-0.025,1
0.025,2.6053715,0.6666667,0.2072072,2,-0.025,1
0.025,3.1824882,0.6666667,0.2082082,2,-0.025,1
0.025,3.5741813,1.0,0.2092092,3,-0.025,1
0.025,3.9578218,1.0,0.2102102,3,-0.025,1
0.125,1.4516774,0.6666667,0.2112112,2,-0.125,1
0.025,2.457276,0.6666667,0.2122122,2,-0.025,5
0.025,3.3915305,0.6666667,0.21321322,2,-0.025,1
0.025,3.8699841,0.0,0.21421422,0,-0.025,1
0.075,2.4336865,0.6666667,0.21521522,2,-0.075,1
0.0,3.556615,0.0,0.21621622,0,-0.0,3
0.0,4.7501583,0.6666667,0.21721722,2,-0.0,0
0.0,5.9948645,0.6666667,0.21821822,2,-0.0,0
0.0,6.956413,0.6666667,0.21921922,2,-0.0,0
0.0,7.2346687,0.6666667,0.22022022,2,-0.0,0
0.0,6.895196,0.6666667,0.22122122,2,-0.0,0
0.0,6.65503,0.0,0.22222222,0,-0.0,0
0.0,6.1024313,0.0,0.22322322,0,-0.0,0
0.025,5.711576,0.0,0.22422422,0,-0.025,0
0.075,5.2872915,0.0,0.22522523,0,-0.075,1
0.075,4.3722215,0.0,0.22622623,0,-0.075,3
0.1,4.6476636,0.0,0.22722723,0,-0.1,3
0.1,3.775454,0.0,0.22822823,0,-0.1,4
0.1,4.095515,0.0,0.22922923,0,-0.1,4
0.1,4.2010455,0.0,0.23023023,0,-0.1,4
0.1,2.6220846,0.0,0.23123123,0,-0.1,4
0.1,0.0,0.0,0.23223223,0,-0.1,4
0.05,0.6165526,0.33333334,0.23323323,1,-0.05,4
0.05,1.2939821,0.33333334,0.23423423,1,-0.05,2
0.05,1.8434806,0.33333334,0.23523523,1,-0.05,2
0.05,2.3752663,0.0,0.23623623,0,-0.05,2
0.025,3.2592523,1.0,0.23723723,3,-0.025,2
0.05,3.4697962,0.0,0.23823825,0,-0.05,1
0.025,4.3416514,0.6666667,0.23923925,2,-0.025,2
0.05,4.8149767,0.0,0.24024025,0,-0.05,1
0.15,2.7549112,0.0,0.24124125,0,-0.15,2
0.05,3.6188323,0.0,0.24224225,0,-0.05,6
0.05,4.5594583,0.0,0.24324325,0,-0.05,2
0.05,2.4021866,0.0,0.24424425,0,-0.05,2
0.125,2.132569,0.0,0.24524525,0,-0.125,2
0.025,3.2436247,0.6666667,0.24624625,2,-0.025,5
0.025,4.3453126,0.0,0.24724725,0,-0.025,1
0.0,5.605377,1.0,0.24824825,3,-0.0,1
0.0,6.9495125,0.0,0.24924925,0,-0.0,0
0.0,6.7051053,0.0,0.25025025,0,-0.0,0
0.0,6.5904627,0.33333334,0.25125125,1,-0.0,0
0.025,5.028982,0.0,0.25225225,0,-0.025,0
0.025,4.5211616,0.0,0.25325325,0,-0.025,1
0.075,4.1615314,0.0,0.25425425,0,-0.075,1
0.075,3.9329207,0.0,0.25525525,0,-0.075,3
0.075,4.0515685,0.0,0.25625625,0,-0.075,3
0.1,3.3703995,0.0,0.25725725,0,-0.1,3
0.075,3.9444916,1.0,0.25825825,3,-0.075,4
0.075,3.3039384,1.0,0.25925925,3,-0.075,3
0.075,3.9609716,1.0,0.26026025,3,-0.075,3
0.05,3.0303948,0.33333334,0.26126125,1,-0.05,3
0.025,3.84204,0.6666667,0.26226225,2,-0.025,2
0.05,4.5140376,0.33333334,0.26326326,1,-0.05,1
0.05,3.989987,0.33333334,0.26426426,1,-0.05,2
0.05,4.6178126,0.33333334,0.26526526,1,-0.05,2
0.05,5.055045,0.33333334,0.26626626,1,-0.05,2
0.05,5.286823,0.33333334,0.26726726,1,-0.05,2
0.05,4.444236,0.0,0.26826826,0,-0.05,2
0.05,5.051479,0.0,0.26926926,0,-0.05,2
0.05,5.737091,0.0,0.27027026,0,-0.05,2
0.15,1.5913337,0.0,0.27127126,0,-0.15,2
0.05,2.4873898,0.0,0.27227226,0,-0.05,6
0.05,1.6133269,0.0,0.27327326,0,-0.05,2
0.075,1.9672887,0.0,0.27427426,0,-0.075,2
0.1,2.1103556,0.0,0.2752753,0,-0.1,3
0.05,3.0387056,0.0,0.2762763,0,-0.05,4
0.05,4.111675,0.0,0.2772773,0,-0.05,2
0.05,5.019239,0.0,0.2782783,0,-0.05,2
0.05,5.884604,0.0,0.2792793,0,-0.05,2
0.05,5.340426,0.0,0.2802803,0,-0.05,2
0.05,4.4289927,0.0,0.2812813,0,-0.05,2
0.05,3.59957,0.0,0.2822823,0,-0.05,2
0.1,2.6204908,0.0,0.2832833,0,-0.1,2
0.1,2.2640138,1.0,0.2842843,3,-0.1,4
0.1,1.9781836,0.6666667,0.2852853,2,-0.1,4
0.1,2.2370574,1.0,0.2862863,3,-0.1,4
0.125,2.5843291,1.0,0.2872873,3,-0.125,4
0.125,3.004608,1.0,0.2882883,3,-0.125,5
0.125,2.913309,1.0,0.2892893,3,-0.125,5
0.1,2.1625912,0.0,0.2902903,0,-0.1,5
0.125,2.5215416,0.0,0.2912913,0,-0.125,4
0.125,3.0077958,1.0,0.2922923,3,-0.125,5
0.125,3.4232845,0.0,0.2932933,0,-0.125,5
0.075,2.8342378,0.33333334,0.2942943,1,-0.075,5
0.075,1.5759188,0.6666667,0.2952953,2,-0.075,3
0.075,1.8086691,0.6666667,0.2962963,2,-0.075,3
0.075,2.1929502,0.6666667,0.2972973,2,-0.075,3
0.05,2.9744456,0.6666667,0.2982983,2,-0.05,3
0.025,4.011584,0.6666667,0.2992993,2,-0.025,2
0.025,4.969702,0.6666667,0.3003003,2,-0.025,1
0.125,2.4036357,0.0,0.3013013,0,-0.125,1
0.05,2.9131289,0.0,0.3023023,0,-0.05,5
0.05,3.7754548,0.0,0.3033033,0,-0.05,2
0.075,3.8880944,0.6666667,0.3043043,2,-0.075,2
0.05,3.6361263,0.0,0.3053053,0,-0.05,3
